Cylinders,Displacement,HorsePower,Weight,Acceleration,ModelYear,Origin,CarName,Class
8,307,130,3504,12,70,1,49,2
8,350,130,3693,11.5,70,1,36,2
8,318,130,3436,11,70,1,231,2
8,304,130,3433,12,70,1,14,2
8,302,130,3449,10.5,70,1,161,2
8,429,130,4341,10,70,1,141,2
8,454,130,4354,9,70,1,54,2
8,440,130,4312,8.5,70,1,223,2
8,455,130,4425,10,70,1,241,2
8,390,130,3850,8.5,70,1,1,2
8,383,130,3563,10,70,1,101,2
8,340,130,3609,8,70,1,215,2
8,400,130,3761,9.5,70,1,57,2
8,455,130,3086,10,70,1,30,2
4,113,130,2372,15,70,3,274,2
6,198,130,2833,15.5,70,1,220,2
6,199,130,2774,15.5,70,1,8,2
6,200,130,2587,16,70,1,150,2
4,97,130,2130,14.5,70,3,95,3
4,97,130,1835,20.5,70,2,282,3
4,110,130,2672,17.5,70,2,211,2
4,107,130,2430,14.5,70,2,16,2
4,104,130,2375,17.5,70,2,258,2
4,121,130,2234,12.5,70,2,22,3
6,199,130,2648,15,70,1,7,2
8,360,130,4615,14,70,1,133,1
8,307,130,4376,15,70,1,68,1
8,318,130,4382,13.5,70,1,112,1
8,304,130,4732,18.5,70,1,163,1
4,97,130,2130,14.5,71,3,95,3
4,140,130,2264,15.5,71,1,65,3
4,113,130,2228,14,71,3,271,2
4,98,130,2046,19,71,1,156,2
6,232,130,2634,13,71,1,7,2
6,225,130,3439,15.5,71,1,232,2
6,250,130,3329,15.5,71,1,49,2
6,250,130,3302,15.5,71,1,162,2
6,232,130,3288,15.5,71,1,10,2
8,350,130,4209,12,71,1,54,2
8,400,130,4464,11.5,71,1,242,2
8,351,130,4154,13.5,71,1,141,2
8,318,130,4096,13,71,1,223,2
8,383,130,4955,11.5,71,1,116,1
8,400,130,4746,12,71,1,129,2
8,400,130,5140,12,71,1,250,2
6,258,130,2962,13.5,71,1,9,2
4,140,130,2408,19,71,1,64,2
6,250,130,3282,15,71,1,243,2
6,250,130,3139,14.5,71,1,151,2
4,122,130,2220,14,71,1,187,2
4,116,130,2123,14,71,2,208,3
4,79,130,2074,19.5,71,2,210,3
4,88,130,2065,14.5,71,2,123,3
4,71,130,1773,19,71,3,267,3
4,72,130,1613,18,71,3,76,3
4,97,130,1834,19,71,2,286,3
4,91,130,1955,20.5,71,1,218,3
4,113,130,2278,15.5,72,3,272,2
4,97.5,130,2126,17,72,1,105,2
4,97,130,2254,23.5,72,2,293,2
4,140,130,2408,19.5,72,1,63,2
4,122,130,2226,16.5,72,1,158,2
8,350,130,4274,12,72,1,54,2
8,400,130,4385,12,72,1,241,2
8,318,130,4135,13.5,72,1,223,2
8,351,130,4129,13,72,1,141,2
8,304,130,3672,11.5,72,1,2,2
8,429,130,4633,11,72,1,192,1
8,350,130,4502,13.5,72,1,31,2
8,350,130,4456,13.5,72,1,203,1
8,400,130,4422,12.5,72,1,75,2
3,70,130,2330,13.5,72,3,183,2
8,304,130,3892,12.5,72,1,11,2
8,307,130,4098,14,72,1,48,2
8,302,130,4294,16,72,1,143,2
8,318,130,4077,14,72,1,233,2
4,121,130,2933,14.5,72,2,295,2
4,121,130,2511,18,72,2,283,2
4,120,130,2979,19.5,72,2,212,2
4,96,130,2189,18,72,2,253,3
4,122,130,2395,16,72,1,157,2
4,97,130,2288,17,72,3,85,3
4,120,130,2506,14.5,72,3,279,2
4,98,130,2164,15,72,1,104,3
4,97,130,2100,16.5,72,3,268,3
8,350,130,4100,13,73,1,25,2
8,304,130,3672,11.5,73,1,10,2
8,350,130,3988,13,73,1,55,2
8,302,130,4042,14.5,73,1,142,2
8,318,130,3777,12.5,73,1,109,2
8,429,130,4952,11.5,73,1,193,1
8,400,130,4464,12,73,1,44,2
8,351,130,4363,13,73,1,148,2
8,318,130,4237,14.5,73,1,222,2
8,440,130,4735,11,73,1,74,2
8,455,130,4951,11,73,1,29,1
8,360,130,3821,11,73,1,0,2
6,225,130,3121,16.5,73,1,235,2
6,250,130,3278,18,73,1,62,2
6,232,130,2945,16,73,1,8,2
6,250,130,3021,16.5,73,1,150,2
6,198,130,2904,16,73,1,220,2
4,97,130,1950,21,73,2,292,3
8,400,130,4997,14,73,1,54,1
8,400,130,4906,12.5,73,1,128,1
8,360,130,4654,13,73,1,219,2
8,350,130,4499,12.5,73,1,207,1
6,232,130,2789,15,73,1,7,2
4,97,130,2279,19,73,3,263,2
4,140,130,2401,19.5,73,1,63,2
4,108,130,2379,16.5,73,3,87,2
3,70,130,2124,13.5,73,3,174,2
4,122,130,2310,18.5,73,1,156,2
6,155,130,2472,14,73,1,188,2
4,98,130,2265,15.5,73,2,121,3
8,350,130,4082,13,73,1,59,2
8,400,130,4278,9.5,73,1,244,2
4,68,130,1867,19.5,73,2,124,3
4,116,130,2158,15.5,73,2,209,2
4,114,130,2582,14,73,2,17,2
4,121,130,2868,15.5,73,2,294,2
8,318,130,3399,11,73,1,113,2
4,121,130,2660,14,73,2,260,2
6,156,130,2807,13.5,73,3,276,2
8,350,130,3664,11,73,1,204,1
6,198,130,3102,16.5,74,1,220,2
6,200,130,2875,17,74,1,150,2
6,232,130,2901,16,74,1,8,2
6,250,130,3336,17,74,1,61,2
4,79,130,1950,19,74,3,92,3
4,122,130,2451,16.5,74,1,156,3
4,71,130,1836,21,74,3,267,3
4,140,130,2542,17,74,1,63,2
6,250,130,3781,17,74,1,50,2
6,258,130,3632,18,74,1,10,2
6,225,130,3613,16.5,74,1,234,2
8,302,130,4141,14,74,1,142,2
8,350,130,4699,14.5,74,1,27,2
8,318,130,4457,13.5,74,1,110,2
8,302,130,4638,16,74,1,143,2
8,304,130,4257,15.5,74,1,11,2
4,98,130,2219,16.5,74,2,21,3
4,79,130,1963,15.5,74,2,284,3
4,97,130,2300,14.5,74,2,209,3
4,76,130,1649,16.5,74,3,271,3
4,83,130,2003,19,74,3,88,3
4,90,130,2125,14.5,74,1,103,3
4,90,130,2108,15.5,74,2,124,2
4,116,130,2246,14,74,2,122,3
4,120,130,2489,15,74,3,167,2
4,108,130,2391,15.5,74,3,261,3
4,79,130,2000,16,74,2,127,3
6,225,130,3264,16,75,1,236,2
6,250,130,3459,16,75,1,61,2
6,250,130,3432,21,75,1,194,2
6,250,130,3158,19.5,75,1,150,2
8,400,130,4668,11.5,75,1,241,2
8,350,130,4440,14,75,1,42,2
8,318,130,4498,14.5,75,1,224,2
8,351,130,4657,13.5,75,1,148,2
6,231,130,3907,21,75,1,24,2
6,250,130,3897,18.5,75,1,41,2
6,258,130,3730,19,75,1,10,2
6,225,130,3785,19,75,1,221,2
6,231,130,3039,15,75,1,34,2
8,262,130,3221,13.5,75,1,60,2
8,302,130,3169,12,75,1,154,2
4,97,130,2171,16,75,3,266,3
4,140,130,2639,17,75,1,156,2
6,232,130,2914,16,75,1,7,2
4,140,130,2592,18.5,75,1,240,2
4,134,130,2702,13.5,75,3,271,2
4,90,130,2223,16.5,75,2,284,2
4,119,130,2545,17,75,3,88,2
6,171,130,2984,14.5,75,1,156,2
4,90,130,1937,14,75,2,287,3
6,232,130,3211,17,75,1,12,2
4,115,130,2694,15,75,2,17,2
4,120,130,2957,17,75,2,211,2
4,121,130,2945,14.5,75,2,296,2
4,121,130,2671,13.5,75,2,260,2
4,91,130,1795,17.5,75,3,171,3
4,107,130,2464,15.5,76,2,125,3
4,116,130,2220,16.9,76,2,208,2
4,140,130,2572,14.9,76,1,40,2
4,98,130,2255,17.7,76,1,103,3
4,101,130,2202,15.3,76,2,254,3
8,305,130,4215,13,76,1,50,2
8,318,130,4190,13,76,1,108,2
8,304,130,3962,13.9,76,1,10,2
8,351,130,4215,12.8,76,1,142,2
6,225,130,3233,15.4,76,1,235,2
6,250,130,3353,14.5,76,1,61,2
6,200,130,3012,17.6,76,1,150,2
6,232,130,3085,17.6,76,1,8,2
4,85,130,2035,22.2,76,1,51,3
4,98,130,2164,22.1,76,1,66,2
4,90,130,1937,14.2,76,2,302,3
4,91,130,1795,17.4,76,3,167,3
6,225,130,3651,17.7,76,1,100,2
6,250,130,3574,21,76,1,145,2
6,250,130,3645,16.2,76,1,252,2
6,258,130,3193,17.8,76,1,13,2
4,97,130,1825,12.2,76,2,287,3
4,85,130,1990,17,76,3,91,3
4,97,130,2155,16.4,76,3,266,3
4,140,130,2565,13.6,76,1,156,3
4,130,130,3150,15.7,76,2,297,2
8,318,130,3940,13.2,76,1,239,2
4,120,130,3270,21.9,76,2,211,2
6,156,130,2930,15.5,76,3,276,2
6,168,130,3820,16.7,76,2,186,2
8,350,130,4380,12.1,76,1,39,2
8,350,130,4055,12,76,1,67,2
8,302,130,3870,15,76,1,132,2
8,318,130,3755,14,76,1,111,2
4,98,130,2045,18.5,77,3,165,3
4,111,130,2155,14.8,77,1,32,3
4,79,130,1825,18.6,77,2,256,3
4,122,130,2300,15.5,77,1,216,3
4,85,130,1945,16.8,77,3,94,3
8,305,130,3880,12.5,77,1,44,2
8,260,130,4060,19,77,1,202,2
8,318,130,4140,13.7,77,1,117,2
8,302,130,4295,14.9,77,1,189,2
6,250,130,3520,16.4,77,1,53,2
6,231,130,3425,16.9,77,1,35,2
6,225,130,3630,17.7,77,1,238,2
6,250,130,3525,19,77,1,144,2
8,400,130,4220,11.1,77,1,245,2
8,350,130,4165,11.4,77,1,58,2
8,400,130,4325,12.2,77,1,70,2
8,351,130,4335,14.5,77,1,160,2
4,97,130,1940,14.5,77,2,288,3
4,151,130,2740,16,77,1,251,2
4,97,130,2265,18.2,77,3,269,3
4,140,130,2755,15.8,77,1,155,3
4,98,130,2051,17,77,1,51,3
4,98,130,2075,15.9,77,1,107,3
4,97,130,1985,16.4,77,3,262,3
4,97,130,2190,14.1,77,2,284,3
6,146,130,2815,14.5,77,3,89,2
4,121,130,2600,12.8,77,2,23,2
3,80,130,2720,13.5,77,3,181,2
4,90,130,1985,21.5,78,2,289,4
4,98,130,1800,14.4,78,1,139,3
4,78,130,1985,19.4,78,3,180,3
4,85,130,2070,18.6,78,3,93,4
4,91,130,1800,16.4,78,3,171,3
8,260,130,3365,15.5,78,1,201,2
8,318,130,3735,13.2,78,1,114,2
8,302,130,3570,12.8,78,1,195,2
6,231,130,3535,19.2,78,1,249,2
6,200,130,3155,18.2,78,1,55,2
6,200,130,2965,15.8,78,1,135,2
4,140,130,2720,15.4,78,1,136,3
6,225,130,3430,17.2,78,1,237,2
6,232,130,3210,17.2,78,1,3,2
6,231,130,3380,15.8,78,1,28,2
6,200,130,3070,16.7,78,1,196,2
6,225,130,3620,18.7,78,1,98,2
6,258,130,3410,15.1,78,1,4,2
8,305,130,3425,13.2,78,1,58,2
6,231,130,3445,13.4,78,1,33,2
8,302,130,3205,11.2,78,1,140,2
8,318,130,4080,13.7,78,1,115,2
4,98,130,2155,16.5,78,1,51,3
4,134,130,2560,14.2,78,3,271,3
4,119,130,2300,14.7,78,3,84,3
4,105,130,2230,14.5,78,1,118,3
4,134,130,2515,14.8,78,3,265,2
4,156,130,2745,16.7,78,1,230,2
4,151,130,2855,17.6,78,1,206,2
4,119,130,2405,14.9,78,3,77,2
5,131,130,2830,15.9,78,2,19,2
6,163,130,3140,13.6,78,2,298,2
4,121,130,2795,15.7,78,2,259,2
6,163,130,3410,15.8,78,2,214,2
4,89,130,1990,14.9,78,2,291,3
4,98,130,2135,16.6,78,3,166,3
6,231,130,3245,15.4,79,1,247,2
6,200,130,2990,18.2,79,1,197,2
4,140,130,2890,17.3,79,1,137,2
6,232,130,3265,18.2,79,1,6,2
6,225,130,3360,16.6,79,1,99,2
8,305,130,3840,15.4,79,1,44,2
8,302,130,3725,13.4,79,1,149,2
8,351,130,3955,13.2,79,1,190,2
8,318,130,3830,15.2,79,1,120,2
8,350,130,4360,14.9,79,1,30,2
8,351,130,4054,14.3,79,1,129,2
8,267,130,3605,15,79,1,56,2
8,360,130,3940,13,79,1,73,2
4,89,130,1925,14,79,2,304,3
4,86,130,1975,15.2,79,3,173,3
4,98,130,1915,14.4,79,1,106,3
4,121,130,2670,15,79,1,15,3
5,183,130,3530,20.1,79,2,184,3
8,350,130,3900,17.4,79,1,38,2
4,141,130,3190,24.8,79,2,211,3
8,260,130,3420,22.2,79,1,201,2
4,105,130,2200,13.2,79,1,225,3
4,105,130,2150,14.9,79,1,228,3
4,85,130,2020,19.2,79,3,79,3
4,91,130,2130,14.7,79,2,126,3
4,151,130,2670,16,79,1,37,3
6,173,130,2595,11.3,79,1,52,3
6,173,130,2700,12.9,79,1,205,3
4,151,130,2556,13.2,79,1,248,3
4,98,130,2144,14.7,80,2,302,4
4,89,130,1968,18.8,80,3,270,4
4,98,130,2120,15.5,80,1,51,3
4,86,130,2019,16.4,80,3,82,3
4,151,130,2678,16.5,80,1,52,3
4,140,130,2870,18.1,80,1,134,3
4,151,130,3003,20.1,80,1,3,2
6,225,130,3381,18.7,80,1,98,2
4,97,130,2188,15.8,80,2,18,3
4,134,130,2711,15.5,80,3,273,3
4,120,130,2542,17.5,80,3,175,3
4,119,130,2434,15,80,3,86,3
4,108,130,2265,15.2,80,3,266,3
4,86,130,2110,17.9,80,3,176,4
4,156,130,2800,14.4,80,1,103,3
4,85,130,2110,19.2,80,3,79,4
4,90,130,2085,21.7,80,2,303,4
4,90,130,2335,23.7,80,2,300,4
5,121,130,2950,19.9,80,2,20,3
4,146,130,3250,21.8,80,2,185,3
4,91,130,1850,13.8,80,3,170,4
4,85,130,1835,17.3,80,2,257,4
4,97,130,2145,18,80,3,262,3
4,89,130,1845,15.3,80,2,281,3
6,168,130,2910,11.4,80,3,81,3
3,70,130,2420,12.5,80,3,182,2
4,122,130,2500,15.1,80,2,280,3
4,140,130,2905,14.3,80,1,152,2
4,107,130,2290,17,80,3,164,3
4,135,130,2490,15.7,81,1,229,3
4,151,130,2635,16.4,81,1,35,3
4,156,130,2620,14.4,81,1,97,3
6,173,130,2725,12.6,81,1,52,2
4,135,130,2385,12.9,81,1,229,3
4,79,130,1755,16.9,81,3,277,4
4,86,130,1875,16.4,81,1,217,4
4,81,130,1760,16.1,81,3,169,3
4,97,130,2065,17.8,81,3,261,3
4,85,130,1975,19.4,81,3,80,3
4,89,130,2050,17.3,81,3,278,4
4,91,130,1985,16,81,3,177,3
4,105,130,2215,14.9,81,1,226,3
4,98,130,2045,16.2,81,1,131,3
4,98,130,2380,20.7,81,1,130,3
4,105,130,2190,14.2,81,2,285,3
4,100,130,2320,15.8,81,2,255,3
4,107,130,2210,14.4,81,3,172,3
4,108,130,2350,16.8,81,3,266,3
4,119,130,2615,14.8,81,3,78,3
4,120,130,2635,18.3,81,3,175,3
4,141,130,3230,20.4,81,2,213,3
6,145,130,3160,19.6,81,2,299,3
6,168,130,2900,12.6,81,3,275,3
6,146,130,2930,13.8,81,3,90,2
6,231,130,3415,15.8,81,1,24,2
8,350,130,3725,19,81,1,200,3
6,200,130,3060,17.1,81,1,146,2
6,225,130,3465,16.6,81,1,72,2
4,112,130,2605,19.6,82,1,45,3
4,112,130,2640,18.6,82,1,47,3
4,112,130,2395,18,82,1,46,3
4,112,130,2575,16.2,82,1,246,3
4,135,130,2525,16,82,1,96,3
4,151,130,2735,18,82,1,248,3
4,140,130,2865,16.4,82,1,138,2
4,151,130,3035,20.5,82,1,5,2
4,105,130,1980,15.3,82,2,290,3
4,91,130,2025,18.2,82,3,179,3
4,91,130,1970,17.6,82,3,178,3
4,105,130,2125,14.7,82,1,227,4
4,98,130,2125,17.3,82,1,191,3
4,120,130,2160,14.5,82,3,198,3
4,107,130,2205,14.5,82,3,164,3
4,108,130,2245,16.9,82,3,266,3
4,91,130,1965,15,82,3,167,4
4,91,130,1965,15.7,82,3,168,3
4,91,130,1995,16.2,82,3,83,4
6,181,130,2945,16.4,82,1,26,2
6,262,130,3015,17,82,1,199,4
4,156,130,2585,14.5,82,1,71,3
6,232,130,2835,14.7,82,1,147,2
4,144,130,2665,13.9,82,3,264,3
4,135,130,2370,13,82,1,102,3
4,151,130,2950,17.3,82,1,43,3
4,140,130,2790,15.6,82,1,153,3
4,97,130,2130,24.6,82,2,301,4
4,135,130,2295,11.6,82,1,119,3
4,120,130,2625,18.6,82,1,159,3
4,119,130,2720,19.4,82,1,69,3
