SymbolingRisk,Normalized-losses,Company,Fuel-type,Aspiration,NumDoors,BodyStyle,DriveWheels,EngineLoc,WheelBase,Length,Width,Height,CurbWeight,EngineType,NumCylinders,EngineSize,Fuel-sys,Bore,Stroke,CompRatio,HorsePow,Peak-rpm,City-mpg,High-mpg,Class
1,122,1,2,1,2,5,3,1,88.6,168.8,64.1,48.8,2548,1,4,130,6,3.47,2.68,9,111,5000,21,27,2
3,122,1,2,1,2,4,3,1,94.5,171.2,65.5,52.4,2823,6,6,152,6,2.68,3.47,9,154,5000,19,26,2
2,164,2,2,1,4,3,2,1,99.8,176.6,66.2,54.3,2337,4,4,109,6,3.19,3.4,10,102,5500,24,30,2
2,164,2,2,1,4,3,1,1,99.4,176.6,66.4,54.3,2824,4,5,136,6,3.19,3.4,8,115,5500,18,22,2
2,122,2,2,1,2,3,2,1,99.8,177.3,66.3,53.1,2507,4,5,136,6,3.19,3.4,8.5,110,5500,19,25,2
3,158,2,2,1,4,3,2,1,105.8,192.7,71.4,55.7,2844,4,5,136,6,3.19,3.4,8.5,110,5500,19,25,2
3,122,2,2,1,4,2,2,1,105.8,192.7,71.4,55.7,2954,4,5,136,6,3.19,3.4,8.5,110,5500,19,25,2
3,158,2,2,2,4,3,2,1,105.8,192.7,71.4,55.9,3086,4,5,131,6,3.13,3.4,8.3,140,5500,17,20,2
4,122,2,2,2,2,4,1,1,99.5,178.2,67.9,52,3053,4,5,131,6,3.13,3.4,7,160,5500,16,22,1
2,192,3,2,1,2,3,3,1,101.2,176.8,64.8,54.3,2395,4,4,108,6,3.5,2.8,8.8,101,5800,23,29,2
4,192,3,2,1,4,3,3,1,101.2,176.8,64.8,54.3,2395,4,4,108,6,3.5,2.8,8.8,101,5800,23,29,2
4,188,3,2,1,2,3,3,1,101.2,176.8,64.8,54.3,2710,4,6,164,6,3.31,3.19,9,121,4250,21,28,2
4,188,3,2,1,4,3,3,1,101.2,176.8,64.8,54.3,2765,4,6,164,6,3.31,3.19,9,121,4250,21,28,2
3,122,3,2,1,4,3,3,1,103.5,189,66.9,55.7,3055,4,6,164,6,3.31,3.19,9,121,4250,20,25,2
4,122,3,2,1,4,3,3,1,103.5,189,66.9,55.7,3230,4,6,209,6,3.62,3.39,8,182,5400,16,22,3
4,122,3,2,1,2,3,3,1,103.5,193.8,67.9,53.7,3380,4,6,209,6,3.62,3.39,8,182,5400,16,22,4
4,122,3,2,1,4,3,3,1,110,197,70.9,56.3,3505,4,6,209,6,3.62,3.39,8,182,5400,15,20,3
2,121,4,2,1,2,4,2,1,88.4,141.1,60.3,53.2,1488,3,3,61,2,2.91,3.03,9.5,48,5100,47,53,1
3,98,4,2,1,2,4,2,1,94.5,155.9,63.6,52,1874,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
4,81,4,2,1,4,3,2,1,94.5,158.8,63.6,52,1909,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
3,118,5,2,1,2,4,2,1,93.7,157.3,63.8,50.8,1876,4,4,90,2,2.97,3.23,9.41,68,5500,37,41,1
3,118,5,2,1,2,4,2,1,93.7,157.3,63.8,50.8,1876,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,118,5,2,2,2,4,2,1,93.7,157.3,63.8,50.8,2128,4,4,98,6,3.03,3.39,7.6,102,5500,24,30,1
3,148,5,2,1,4,4,2,1,93.7,157.3,63.8,50.6,1967,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,148,5,2,1,4,3,2,1,93.7,157.3,63.8,50.6,1989,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,148,5,2,1,4,3,2,1,93.7,157.3,63.8,50.6,1989,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,148,5,2,2,4,3,2,1,93.7,157.3,63.8,50.6,2191,4,4,98,6,3.03,3.39,7.6,102,5500,24,30,1
5,110,5,2,1,4,2,2,1,103.3,174.6,64.6,59.8,2535,4,4,122,2,3.34,3.46,8.5,88,5000,24,30,1
1,145,5,2,2,2,4,2,1,95.9,173.2,66.3,50.2,2811,4,4,156,5,3.6,3.9,7,145,5000,19,24,1
2,137,6,2,1,2,4,2,1,86.6,144.6,63.9,50.8,1713,4,4,92,1,2.91,3.41,9.6,58,4800,49,54,1
2,137,6,2,1,2,4,2,1,86.6,144.6,63.9,50.8,1819,4,4,92,1,2.91,3.41,9.2,76,6000,31,38,1
3,101,6,2,1,2,4,2,1,93.7,150,64,52.6,1837,4,4,79,1,2.91,3.07,10.1,60,5500,38,42,1
3,101,6,2,1,2,4,2,1,93.7,150,64,52.6,1940,4,4,92,1,2.91,3.41,9.2,76,6000,30,34,1
3,101,6,2,1,2,4,2,1,93.7,150,64,52.6,1956,4,4,92,1,2.91,3.41,9.2,76,6000,30,34,1
4,110,6,2,1,4,3,2,1,96.5,163.4,64,54.5,2010,4,4,92,1,2.91,3.41,9.2,76,6000,30,34,1
4,78,6,2,1,4,2,2,1,96.5,157.1,63.9,58.3,2024,4,4,92,1,2.92,3.41,9.2,76,6000,30,34,1
4,106,6,2,1,2,4,2,1,96.5,167.5,65.2,53.3,2236,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,106,6,2,1,2,4,2,1,96.5,167.5,65.2,53.3,2289,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,85,6,2,1,4,3,2,1,96.5,175.4,65.2,54.1,2304,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,85,6,2,1,4,3,2,1,96.5,175.4,62.5,54.1,2372,4,4,110,1,3.15,3.58,9,86,5800,27,33,1
4,85,6,2,1,4,3,2,1,96.5,175.4,65.2,54.1,2465,4,4,110,6,3.15,3.58,9,101,5800,24,28,1
3,107,6,2,1,2,3,2,1,96.5,169.1,66,51,2293,4,4,110,2,3.15,3.58,9.1,100,5500,25,31,1
4,122,7,2,1,4,3,3,1,94.3,170.7,61.8,53.5,2337,4,4,111,2,3.31,3.23,8.5,78,4800,24,29,1
3,122,7,2,1,2,3,2,1,94.5,155.9,63.6,52,1874,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
4,122,7,2,1,4,3,2,1,94.5,155.9,63.6,52,1909,4,4,90,2,3.03,3.11,9.6,70,5400,38,43,1
2,122,7,2,1,2,4,3,1,96,172.6,65.2,51.4,2734,4,4,119,8,3.43,3.23,9.2,90,5000,24,29,1
4,145,8,2,1,4,3,3,1,113,199.6,69.6,52.8,4066,1,6,258,6,3.63,4.17,8.1,176,4750,15,19,3
4,122,8,2,1,4,3,3,1,113,199.6,69.6,52.8,4066,1,6,258,6,3.63,4.17,8.1,176,4750,15,19,3
4,122,8,2,1,2,3,3,1,102,191.7,70.6,47.8,3950,6,12,326,6,3.54,2.76,11.5,262,5000,13,17,3
3,104,9,2,1,2,4,2,1,93.1,159.1,64.2,54.1,1890,4,4,91,2,3.03,3.15,9,68,5000,30,31,1
3,104,9,2,1,2,4,2,1,93.1,159.1,64.2,54.1,1900,4,4,91,2,3.03,3.15,9,68,5000,31,38,1
3,104,9,2,1,2,4,2,1,93.1,159.1,64.2,54.1,1905,4,4,91,2,3.03,3.15,9,68,5000,31,38,1
3,113,9,2,1,4,3,2,1,93.1,166.8,64.2,54.1,1945,4,4,91,2,3.03,3.15,9,68,5000,31,38,1
3,113,9,2,1,4,3,2,1,93.1,166.8,64.2,54.1,1950,4,4,91,2,3.08,3.15,9,68,5000,31,38,1
1,150,9,2,1,2,4,3,1,95.3,169,65.7,49.6,2380,7,2,70,3,3.33,3.26,9.4,101,6000,17,23,1
1,150,9,2,1,2,4,3,1,95.3,169,65.7,49.6,2380,7,2,70,3,3.33,3.26,9.4,101,6000,17,23,1
1,150,9,2,1,2,4,3,1,95.3,169,65.7,49.6,2385,7,2,70,3,3.33,3.26,9.4,101,6000,17,23,2
1,150,9,2,1,2,4,3,1,95.3,169,65.7,49.6,2500,7,2,80,6,3.33,3.26,9.4,135,6000,16,23,2
3,129,9,2,1,2,4,2,1,98.8,177.8,66.5,53.7,2385,4,4,122,2,3.39,3.39,8.6,84,4800,26,32,1
4,115,9,2,1,4,3,2,1,98.8,177.8,66.5,55.5,2410,4,4,122,2,3.39,3.39,8.6,84,4800,26,32,1
3,129,9,2,1,2,4,2,1,98.8,177.8,66.5,53.7,2385,4,4,122,2,3.39,3.39,8.6,84,4800,26,32,1
4,115,9,2,1,4,3,2,1,98.8,177.8,66.5,55.5,2410,4,4,122,2,3.39,3.39,8.6,84,4800,26,32,1
4,122,9,1,1,4,3,2,1,98.8,177.8,66.5,55.5,2443,4,4,122,4,3.39,3.39,22.7,64,4650,36,42,1
4,115,9,2,1,4,4,2,1,98.8,177.8,66.5,55.5,2425,4,4,122,2,3.39,3.39,8.6,84,4800,26,32,1
4,118,9,2,1,4,3,3,1,104.9,175,66.1,54.4,2670,4,4,140,6,3.76,3.16,8,120,5000,19,27,2
4,122,9,1,1,4,3,3,1,104.9,175,66.1,54.4,2700,4,4,134,4,3.43,3.64,22,72,4200,31,39,2
5,93,10,1,2,4,3,3,1,110,190.9,70.3,56.5,3515,4,5,183,4,3.58,3.64,21.5,123,4350,22,25,2
5,93,10,1,2,4,2,3,1,110,190.9,70.3,58.7,3750,4,5,183,4,3.58,3.64,21.5,123,4350,22,25,3
4,93,10,1,2,2,1,3,1,106.7,187.5,70.3,54.9,3495,4,5,183,4,3.58,3.64,21.5,123,4350,22,25,3
5,93,10,1,2,4,3,3,1,115.6,202.6,71.7,56.3,3770,4,5,183,4,3.58,3.64,21.5,123,4350,22,25,3
5,122,10,2,1,4,3,3,1,115.6,202.6,71.7,56.5,3740,6,8,234,6,3.46,3.1,8.3,155,4750,16,18,3
1,142,10,2,1,2,5,3,1,96.6,180.3,70.5,50.8,3685,6,8,234,6,3.46,3.1,8.3,155,4750,16,18,3
4,122,10,2,1,4,3,3,1,120.9,208.1,71.7,56.7,3900,6,8,308,6,3.8,3.35,8,184,4500,14,16,4
3,122,10,2,1,2,1,3,1,112,199.2,72,55.4,3715,6,8,304,6,3.8,3.35,8,184,4500,14,16,4
3,122,11,2,2,2,4,3,1,102.7,178.4,68,54.8,2910,4,4,140,6,3.78,3.12,8,175,5000,19,24,2
2,161,12,2,1,2,4,2,1,93.7,157.3,64.4,50.8,1918,4,4,92,2,2.97,3.23,9.4,68,5500,37,41,1
2,161,12,2,1,2,4,2,1,93.7,157.3,64.4,50.8,1944,4,4,92,2,2.97,3.23,9.4,68,5500,31,38,1
2,161,12,2,1,2,4,2,1,93.7,157.3,64.4,50.8,2004,4,4,92,2,2.97,3.23,9.4,68,5500,31,38,1
3,161,12,2,2,2,4,2,1,93,157.3,63.8,50.8,2145,4,4,98,7,3.03,3.39,7.6,102,5500,24,30,1
1,153,12,2,2,2,4,2,1,96.3,173,65.4,49.4,2370,4,4,110,7,3.17,3.46,7.5,116,5500,23,30,1
1,153,12,2,1,2,4,2,1,96.3,173,65.4,49.4,2328,4,4,122,2,3.35,3.46,8.5,88,5000,25,32,1
1,122,12,2,2,2,4,2,1,95.9,173.2,66.3,50.2,2833,4,4,156,7,3.58,3.86,7,145,5000,19,24,1
1,122,12,2,2,2,4,2,1,95.9,173.2,66.3,50.2,2921,4,4,156,7,3.59,3.86,7,145,5000,19,24,2
1,122,12,2,2,2,4,2,1,95.9,173.2,66.3,50.2,2926,4,4,156,7,3.59,3.86,7,145,5000,19,24,2
3,125,12,2,1,4,3,2,1,96.3,172.4,65.4,51.6,2365,4,4,122,2,3.35,3.46,8.5,88,5000,25,32,1
3,125,12,2,1,4,3,2,1,96.3,172.4,65.4,51.6,2405,4,4,122,2,3.35,3.46,8.5,88,5000,25,32,1
3,125,12,2,2,4,3,2,1,96.3,172.4,65.4,51.6,2403,4,4,110,7,3.17,3.46,7.5,116,5500,23,30,1
5,137,12,2,1,4,3,2,1,96.3,172.4,65.4,51.6,2403,4,4,110,7,3.17,3.46,7.5,116,5500,23,30,1
3,128,13,2,1,2,3,2,1,94.5,165.3,63.8,54.5,1889,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,128,13,1,1,2,3,2,1,94.5,165.3,63.8,54.5,2017,4,4,103,4,2.99,3.47,21.9,55,4800,45,50,1
3,128,13,2,1,2,3,2,1,94.5,165.3,63.8,54.5,1918,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,122,13,2,1,4,3,2,1,94.5,165.3,63.8,54.5,1938,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,103,13,2,1,4,2,2,1,94.5,170.2,63.8,53.5,2024,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,128,13,2,1,2,3,2,1,94.5,165.3,63.8,54.5,1951,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,128,13,2,1,2,4,2,1,94.5,165.6,63.8,53.3,2028,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,122,13,2,1,4,3,2,1,94.5,165.3,63.8,54.5,1971,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
3,103,13,2,1,4,2,2,1,94.5,170.2,63.8,53.5,2037,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
2,168,13,2,1,2,1,2,1,95.1,162.4,63.8,53.3,2008,4,4,97,2,3.15,3.29,9.4,69,5200,31,37,1
4,106,13,2,1,4,4,2,1,97.2,173.4,65.2,54.7,2324,4,4,120,2,3.33,3.47,8.5,97,5200,27,34,1
4,106,13,2,1,4,3,2,1,97.2,173.4,65.2,54.7,2302,4,4,120,2,3.33,3.47,8.5,97,5200,27,34,1
4,128,13,2,1,4,3,2,1,100.4,181.7,66.5,55.1,3095,6,6,181,6,3.43,3.27,9,152,5200,17,22,2
4,108,13,2,1,4,2,2,1,100.4,184.6,66.5,56.1,3296,6,6,181,6,3.43,3.27,9,152,5200,17,22,2
4,108,13,2,1,4,3,2,1,100.4,184.6,66.5,55.1,3060,6,6,181,6,3.43,3.27,9,152,5200,19,25,2
1,194,13,2,1,2,4,3,1,91.3,170.7,67.9,49.7,3071,6,6,181,6,3.43,3.27,9,160,5200,19,25,2
1,194,13,2,2,2,4,3,1,91.3,170.7,67.9,49.7,3139,6,6,181,6,3.43,3.27,7.8,200,5200,17,23,2
3,231,13,2,1,2,4,3,1,99.2,178.5,67.9,49.7,3139,6,6,181,6,3.43,3.27,9,160,5200,19,25,2
4,161,14,2,1,4,3,3,1,107.9,186.7,68.4,56.7,3020,3,4,120,6,3.46,3.19,8.4,97,5000,19,24,1
4,161,14,1,2,4,3,3,1,107.9,186.7,68.4,56.7,3197,3,4,152,4,3.7,3.52,21,95,4150,28,33,1
4,122,14,2,1,4,2,3,1,114.2,198.9,68.4,58.7,3230,3,4,120,6,3.46,3.19,8.4,97,5000,19,24,1
4,122,14,1,2,4,2,3,1,114.2,198.9,68.4,58.7,3430,3,4,152,4,3.7,3.52,21,95,4150,25,25,2
4,161,14,2,1,4,3,3,1,107.9,186.7,68.4,56.7,3075,3,4,120,6,3.46,2.19,8.4,95,5000,19,24,2
4,161,14,1,2,4,3,3,1,107.9,186.7,68.4,56.7,3252,3,4,152,4,3.7,3.52,21,95,4150,28,33,2
4,122,14,2,1,4,2,3,1,114.2,198.9,68.4,56.7,3285,3,4,120,6,3.46,2.19,8.4,95,5000,19,24,2
4,122,14,1,2,4,2,3,1,114.2,198.9,68.4,58.7,3485,3,4,152,4,3.7,3.52,21,95,4150,25,25,2
4,161,14,2,1,4,3,3,1,107.9,186.7,68.4,56.7,3075,3,4,120,6,3.46,3.19,8.4,97,5000,19,24,2
4,161,14,1,2,4,3,3,1,107.9,186.7,68.4,56.7,3252,3,4,152,4,3.7,3.52,21,95,4150,28,33,2
4,161,14,2,2,4,3,3,1,108,186.7,68.3,56,3130,3,4,134,6,3.61,3.21,7,142,5600,18,24,2
3,119,15,2,1,2,4,2,1,93.7,157.3,63.8,50.8,1918,4,4,90,2,2.97,3.23,9.4,68,5500,37,41,1
3,119,15,2,2,2,4,2,1,93.7,157.3,63.8,50.8,2128,4,4,98,7,3.03,3.39,7.6,102,5500,24,30,1
3,154,15,2,1,4,4,2,1,93.7,157.3,63.8,50.6,1967,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,154,15,2,1,4,3,2,1,93.7,167.3,63.8,50.8,1989,4,4,90,2,2.97,3.23,9.4,68,5500,31,38,1
3,154,15,2,1,4,3,2,1,93.7,167.3,63.8,50.8,2191,4,4,98,2,2.97,3.23,9.4,68,5500,31,38,1
5,74,15,2,1,4,2,2,1,103.3,174.6,64.6,59.8,2535,4,4,122,2,3.35,3.46,8.5,88,5000,24,30,1
1,122,15,2,2,2,4,3,1,95.9,173.2,66.3,50.2,2818,4,4,156,7,3.59,3.86,7,145,5000,19,24,1
1,186,16,2,1,2,4,3,1,94.5,168.9,68.3,50.2,2778,4,4,151,6,3.94,3.11,9.5,143,5500,19,27,2
1,122,16,2,1,2,1,3,2,89.5,168.9,65,51.6,2756,5,6,194,6,3.74,2.9,9.5,207,5900,17,25,3
1,122,16,2,1,2,1,3,2,89.5,168.9,65,51.6,2756,5,6,194,6,3.74,2.9,9.5,207,5900,17,25,3
1,122,16,2,1,2,5,3,2,89.5,168.9,65,51.6,2800,5,6,194,6,3.74,2.9,9.5,207,5900,17,25,3
3,122,16,2,1,2,4,3,1,98.4,175.7,72.3,50.5,3366,2,8,203,6,3.94,3.11,10,288,5750,17,28,1
4,122,17,2,1,4,2,2,1,96.1,181.5,66.5,55.2,2579,4,4,132,6,3.46,3.9,8.7,104,5125,23,31,1
2,122,17,2,1,2,4,2,1,96.1,176.8,66.6,50.5,2460,4,4,132,6,3.46,3.9,8.7,104,5125,23,31,1
1,150,18,2,1,2,4,2,1,99.1,186.6,66.5,56.1,2658,4,4,121,6,3.54,3.07,9.31,110,5250,21,28,1
2,104,18,2,1,4,3,2,1,99.1,186.6,66.5,56.1,2695,4,4,121,6,3.54,3.07,9.3,110,5250,21,28,1
1,150,18,2,1,2,4,2,1,99.1,186.6,66.5,56.1,2707,4,4,121,6,2.54,2.07,9.3,110,5250,21,28,2
2,104,18,2,1,4,3,2,1,99.1,186.6,66.5,56.1,2758,4,4,121,6,3.54,3.07,9.3,110,5250,21,28,2
1,150,18,2,2,2,4,2,1,99.1,186.6,66.5,56.1,2808,1,4,121,6,3.54,3.07,9,160,5500,19,26,2
2,104,18,2,2,4,3,2,1,99.1,186.6,66.5,56.1,2847,1,4,121,6,3.54,3.07,9,160,5500,19,26,2
2,83,19,2,1,2,4,2,1,93.7,156.9,63.4,53.7,2050,5,4,97,2,3.62,2.36,9,69,4900,31,36,1
2,83,19,2,1,2,4,2,1,93.7,157.9,63.6,53.7,2120,5,4,108,2,3.62,2.64,8.7,73,4400,26,31,1
2,83,19,2,1,2,4,1,1,93.3,157.3,63.8,55.7,2240,5,4,108,2,3.62,2.64,8.7,73,4400,26,31,1
4,102,19,2,1,4,3,2,1,97.2,172,65.4,52.5,2145,5,4,108,2,3.62,2.64,9.5,82,4800,32,37,1
4,102,19,2,1,4,3,2,1,97.2,172,65.4,52.5,2190,5,4,108,2,3.62,2.64,9.5,82,4400,28,33,1
4,102,19,2,1,4,3,2,1,97.2,172,65.4,52.5,2340,5,4,108,6,3.62,2.64,9,94,5200,26,32,1
4,102,19,2,1,4,3,1,1,97,172,65.4,54.3,2385,5,4,108,2,3.62,2.64,9,82,4800,24,25,1
4,102,19,2,2,4,3,1,1,97,172,65.4,54.3,2510,5,4,108,6,3.62,2.64,7.7,111,4800,24,29,1
4,89,19,2,1,4,2,2,1,97,173.5,65.4,53,2290,5,4,108,2,3.62,2.64,9,82,4800,28,32,1
4,89,19,2,1,4,2,2,1,97,173.5,65.4,53,2455,5,4,108,6,3.62,2.64,9,94,5200,25,31,1
4,85,19,2,1,4,2,1,1,96.9,173.6,65.4,54.9,2420,5,4,108,2,3.62,2.64,9,82,4800,23,29,1
4,85,19,2,2,4,2,1,1,96.9,173.6,65.4,54.9,2650,5,4,108,6,3.62,2.64,7.7,111,4800,23,23,1
3,87,20,2,1,2,4,2,1,95.7,158.7,63.6,54.5,1985,4,4,92,2,3.05,3.03,9,62,4800,35,39,1
3,87,20,2,1,2,4,2,1,95.7,158.7,63.6,54.5,2040,4,4,92,2,3.05,3.03,9,62,4800,31,38,1
3,74,20,2,1,4,4,2,1,95.7,158.7,63.6,54.5,2015,4,4,92,2,3.05,3.03,9,62,4800,31,38,1
4,77,20,2,1,4,2,2,1,95.7,169.7,63.6,59.1,2280,4,4,92,2,3.05,3.03,9,62,4800,31,37,1
4,81,20,2,1,4,2,1,1,95.7,169.7,63.6,59.1,2290,4,4,92,2,3.05,3.03,9,62,4800,27,32,1
4,91,20,2,1,4,2,1,1,95.7,169.7,63.6,59.1,3110,4,4,92,2,3.05,3.03,9,62,4800,27,32,1
4,91,20,2,1,4,3,2,1,95.7,166.3,64.4,53,2081,4,4,98,2,3.19,3.03,9,70,4800,30,37,1
4,91,20,2,1,4,4,2,1,95.7,166.3,64.4,52.8,2109,4,4,98,2,3.19,3.03,9,70,4800,30,37,1
4,91,20,1,1,4,3,2,1,95.7,166.3,64.4,53,2275,4,4,110,4,3.27,3.35,22.5,56,4500,34,36,1
4,91,20,1,1,4,4,2,1,95.7,166.3,64.4,52.8,2275,4,4,110,4,3.27,3.35,22.5,56,4500,38,47,1
4,91,20,2,1,4,3,2,1,95.7,166.3,64.4,53,2094,4,4,98,2,3.19,3.03,9,70,4800,38,47,1
4,91,20,2,1,4,4,2,1,95.7,166.3,64.4,52.8,2122,4,4,98,2,3.19,3.03,9,70,4800,28,34,1
4,91,20,2,1,4,3,2,1,95.7,166.3,64.4,52.8,2140,4,4,98,2,3.19,3.03,9,70,4800,28,34,1
3,168,20,2,1,2,3,3,1,94.5,168.7,64,52.6,2169,4,4,98,2,3.19,3.03,9,70,4800,29,34,1
3,168,20,2,1,2,4,3,1,94.5,168.7,64,52.6,2204,4,4,98,2,3.19,3.03,9,70,4800,29,34,1
3,168,20,2,1,2,3,3,1,94.5,168.7,64,52.6,2265,1,4,98,6,3.24,3.08,9.4,112,6600,26,29,1
3,168,20,2,1,2,4,3,1,94.5,168.7,64,52.6,2300,1,4,98,6,3.24,3.08,9.4,112,6600,26,29,1
2,134,20,2,1,2,1,3,1,98.4,176.2,65.6,52,2540,4,4,146,6,3.62,3.5,9.3,116,4800,24,30,1
2,134,20,2,1,2,1,3,1,98.4,176.2,65.6,52,2536,4,4,146,6,3.62,3.5,9.3,116,4800,24,30,1
2,134,20,2,1,2,4,3,1,98.4,176.2,65.6,52,2551,4,4,146,6,3.62,3.5,9.3,116,4800,24,30,1
2,134,20,2,1,2,1,3,1,98.4,176.2,65.6,52,2679,4,4,146,6,3.62,3.5,9.3,116,4800,24,30,1
2,134,20,2,1,2,4,3,1,98.4,176.2,65.6,52,2714,4,4,146,6,3.62,3.5,9.3,116,4800,24,30,1
2,134,20,2,1,2,5,3,1,98.4,176.2,65.6,53,2975,4,4,146,6,3.62,3.5,9.3,116,4800,24,30,2
5,65,20,2,1,4,3,2,1,102.4,175.6,66.5,54.9,2326,4,4,122,6,3.31,3.54,8.7,92,4200,29,34,1
5,65,20,1,2,4,3,2,1,102.4,175.6,66.5,54.9,2480,4,4,110,4,3.27,3.35,22.5,73,4500,30,33,1
5,65,20,2,1,4,4,2,1,102.4,175.6,66.5,53.9,2414,4,4,122,6,3.31,3.54,8.7,92,4200,27,32,1
5,65,20,2,1,4,3,2,1,102.4,175.6,66.5,54.9,2414,4,4,122,6,3.31,3.54,8.7,92,4200,27,32,1
5,65,20,2,1,4,4,2,1,102.4,175.6,66.5,53.9,2458,4,4,122,6,3.31,3.54,8.7,92,4200,27,32,1
1,197,20,2,1,2,4,3,1,102.9,183.5,67.7,52,2976,1,6,171,6,3.27,3.35,9.3,161,5200,20,24,2
1,197,20,2,1,2,4,3,1,102.9,183.5,67.7,52,3016,1,6,171,6,3.27,3.35,9.3,161,5200,19,24,2
5,90,20,2,1,4,3,3,1,104.5,187.8,66.5,54.1,3131,1,6,171,6,3.27,3.35,9.2,156,5200,20,24,2
5,122,20,2,1,4,2,3,1,104.5,187.8,66.5,54.1,3151,1,6,161,6,3.27,3.35,9.2,156,5200,19,24,2
2,122,21,1,1,2,3,2,1,97.3,171.7,65.5,55.7,2261,4,4,97,4,3.01,3.4,23,52,4800,37,46,1
2,122,21,2,1,2,3,2,1,97.3,171.7,65.5,55.7,2209,4,4,109,6,3.19,3.4,9,85,5250,27,34,1
2,94,21,1,1,4,3,2,1,97.3,171.7,65.5,55.7,2264,4,4,97,4,3.01,3.4,23,52,4800,37,46,1
2,94,21,2,1,4,3,2,1,97.3,171.7,65.5,55.7,2212,4,4,109,6,3.19,3.4,9,85,5250,27,34,1
2,94,21,2,1,4,3,2,1,97.3,171.7,65.5,55.7,2275,4,4,109,6,3.19,3.4,9,85,5250,27,34,1
2,94,21,1,2,4,3,2,1,97.3,171.7,65.5,55.7,2319,4,4,97,4,3.01,3.4,23,68,4500,37,42,1
2,94,21,2,1,4,3,2,1,97.3,171.7,65.5,55.7,2300,4,4,109,6,3.19,3.4,10,100,5500,26,32,1
1,122,21,2,1,2,5,2,1,94.5,159.3,64.2,55.6,2254,4,4,109,6,3.19,3.4,8.5,90,5500,24,29,1
1,256,21,2,1,2,4,2,1,94.5,165.7,64,51.4,2221,4,4,109,6,3.19,3.4,8.5,90,5500,24,29,1
4,122,21,2,1,4,3,2,1,100.4,180.2,66.9,55.1,2661,4,5,136,6,3.19,3.4,8.5,110,5500,19,24,1
4,122,21,1,2,4,3,2,1,100.4,180.2,66.9,55.1,2579,4,4,97,4,3.01,3.4,23,68,4500,33,38,2
4,122,21,2,1,4,2,2,1,100.4,183.1,66.9,55.1,2563,4,4,109,6,3.19,3.4,9,88,5500,25,31,1
6,103,22,2,1,4,3,3,1,104.3,188.8,67.2,56.2,2912,4,4,141,6,3.78,3.15,9.5,114,5400,23,28,1
5,74,22,2,1,4,2,3,1,104.3,188.8,67.2,57.5,3034,4,4,141,6,3.78,3.15,9.5,114,5400,23,28,1
6,103,22,2,1,4,3,3,1,104.3,188.8,67.2,56.2,2935,4,4,141,6,3.78,3.15,9.5,114,5400,24,28,2
5,74,22,2,1,4,2,3,1,104.3,188.8,67.2,57.5,3042,4,4,141,6,3.78,3.15,9.5,114,5400,24,28,2
6,103,22,2,2,4,3,3,1,104.3,188.8,67.2,56.2,3045,4,4,130,6,3.62,3.15,7.5,162,5100,17,22,2
5,74,22,2,2,4,2,3,1,104.3,188.8,67.2,57.5,3157,4,4,130,6,3.62,3.15,7.5,162,5100,17,22,2
5,95,22,2,1,4,3,3,1,109.1,188.8,68.9,55.5,2952,4,4,141,6,3.78,3.15,9.5,114,5400,23,28,2
5,95,22,2,2,4,3,3,1,109.1,188.8,68.8,55.5,3049,4,4,141,6,3.78,3.15,8.7,160,5300,19,25,2
5,95,22,2,1,4,3,3,1,109.1,188.8,68.9,55.5,3012,6,6,173,6,3.58,2.87,8.8,134,5500,18,23,2
5,95,22,1,2,4,3,3,1,109.1,188.8,68.9,55.5,3217,4,6,145,4,3.01,3.4,23,106,4800,26,27,2
5,95,22,2,2,4,3,3,1,109.1,188.8,68.9,55.5,3062,4,4,141,6,3.78,3.15,9.5,114,5400,19,25,2
1,122,1,2,1,2,5,3,1,88.6,168.8,64.1,48.8,2548,1,4,130,6,3.47,2.68,9,111,5000,21,27,2
